frame_index,pts_ms,timecode,keypoint,x,y
40,1300,00:00:01.300,hip,473.0946636199951,643.0895233154297
40,1300,00:00:01.300,knee,758.1023597717285,696.4054441452026
40,1300,00:00:01.300,ankle,1033.5116958618164,776.577787399292
41,1333,00:00:01.333,ear,446.6364097595215,185.93284785747528
41,1333,00:00:01.333,shoulder,379.25929069519043,326.7455863952637
41,1333,00:00:01.333,elbow,425.69912910461426,516.7098426818848
41,1333,00:00:01.333,wrist,601.7407608032227,575.9169888496399
41,1333,00:00:01.333,hand,648.9423751831055,585.3110718727112
41,1333,00:00:01.333,hip,472.833194732666,643.2520651817322
41,1333,00:00:01.333,knee,758.386173248291,696.444582939148
41,1333,00:00:01.333,ankle,1033.4440612792969,776.6160893440247
42,1367,00:00:01.367,ear,471.718111038208,183.98941040039062
42,1367,00:00:01.367,shoulder,406.34642601013184,323.72108459472656
42,1367,00:00:01.367,elbow,459.0097904205322,514.8537755012512
42,1367,00:00:01.367,wrist,620.5447769165039,579.580135345459
42,1367,00:00:01.367,hand,668.6524200439453,590.6483030319214
42,1367,00:00:01.367,hip,475.4110908508301,640.1601648330688
42,1367,00:00:01.367,knee,759.3378639221191,699.3644785881042
42,1367,00:00:01.367,ankle,1033.4528732299805,776.7645978927612
43,1400,00:00:01.400,ear,472.9635429382324,183.3709466457367
43,1400,00:00:01.400,shoulder,403.96788597106934,324.23526406288147
43,1400,00:00:01.400,elbow,465.8634281158447,514.7707664966583
43,1400,00:00:01.400,wrist,627.9150581359863,580.8577466011047
43,1400,00:00:01.400,hand,674.4980049133301,594.1000485420227
43,1400,00:00:01.400,hip,474.3776035308838,640.0852346420288
43,1400,00:00:01.400,knee,757.8583145141602,699.112651348114
43,1400,00:00:01.400,ankle,1032.7447128295898,779.3362998962402
44,1433,00:00:01.433,ear,494.66028213500977,182.59410917758942
44,1433,00:00:01.433,shoulder,428.1785774230957,324.64094281196594
44,1433,00:00:01.433,elbow,492.76371002197266,514.1133892536163
44,1433,00:00:01.433,wrist,651.1475944519043,581.0781598091125
44,1433,00:00:01.433,hand,699.983024597168,593.6018657684326
44,1433,00:00:01.433,hip,473.80456924438477,641.0835957527161
44,1433,00:00:01.433,knee,756.4545249938965,697.7393174171448
44,1433,00:00:01.433,ankle,1031.286392211914,781.3019299507141
45,1467,00:00:01.467,ear,520.4541778564453,181.9816642999649
45,1467,00:00:01.467,shoulder,446.4890956878662,324.5312833786011
45,1467,00:00:01.467,elbow,530.4151153564453,512.4300992488861
45,1467,00:00:01.467,wrist,684.0062713623047,584.9126029014587
45,1467,00:00:01.467,hand,729.6785545349121,598.8801312446594
45,1467,00:00:01.467,hip,471.3934135437012,642.3678374290466
45,1467,00:00:01.467,knee,756.5773773193359,687.8663635253906
45,1467,00:00:01.467,ankle,1030.235710144043,782.9651355743408
46,1500,00:00:01.500,ear,545.2274322509766,182.88187265396118
46,1500,00:00:01.500,shoulder,470.05396842956543,324.7190594673157
46,1500,00:00:01.500,elbow,565.6565093994141,513.116090297699
46,1500,00:00:01.500,wrist,719.8285102844238,594.2090320587158
46,1500,00:00:01.500,hand,761.9424819946289,609.6499300003052
46,1500,00:00:01.500,hip,471.2809467315674,643.6340546607971
46,1500,00:00:01.500,knee,758.9794921875,674.5932912826538
46,1500,00:00:01.500,ankle,1028.0518341064453,782.8004693984985
47,1533,00:00:01.533,ear,569.2018890380859,183.17668497562408
47,1533,00:00:01.533,shoulder,491.81922912597656,324.9562096595764
